# Problema: optimizacion de la out/in de la energia
#OBJECTIVE
# Opt = (E_in(t) - E_out(t)) * price

#RESTRICCIONES
#SOC=SOC*+E_in*n_in-E_out/n_out
#Cap*PDD<= SOC <= Cap
#E_in<=P_in*Dt_p
#E_out<=P_out*Dt_p

#PARAMETROS
#Cap=Capacidad Nominal [kW.h]
#PDD= Minima profundidad de descarga [%] , superficial =20
#SOC= Estado de carga [h]
#n_in=eficiencia de carga [%/100]
#n_out=eficiencia de descarga [%/100]
#Dt_in=tiempo de carga [h]
#Dt_out=tiempo de descarga [h]
#P_in=Potencia maxima de carga [kw]
#P_out=Potencia maxima de descarga [kw]
#Dt_p= Duracion de cada periodo [h]

param Cap := 6.4;
param PDD := 0.20;
param Dt_in := 4;
param Dt_out := 4;
param n_in := 0.95;
param n_out := 0.94;
param P_in := 7;
param P_out := 7;
param Dt_p := 1;
param SOC := ;

param :
hour price =
1	4,16
2	9,70
3	3,59
4	3,68
5	9,24
6	3,32
7	9,50
8	7,63
9	9,65
10	0,24
11	9,12
12	5,68
13	4,37
14	1,79
15	1,76
16	2,71
17	9,63
18	0,25
19	3,86
20	5,26
21	7,47
22	7,22
23	0,45
24	3,59
25	9,50
26	1,55
27	9,09
28	1,07
29	2,96
30	9,27
31	5,50
32	2,28
33	8,61
34	2,24
35	2,56
36	2,04
37	7,02
38	3,32
39	1,62
40	3,74
41	4,61
42	7,43
43	0,05
44	7,44
45	2,00
46	1,26
47	9,26
48	9,33
49	6,50
50	0,07
51	2,99
52	3,72
53	4,23
54	8,93
55	7,31
56	7,56
57	6,48
58	7,20
59	6,08
60	5,37
61	0,80
62	5,28
63	6,01
64	2,32
65	7,07
66	0,29
67	5,03
68	5,95
69	2,92
70	6,92
71	2,71
72	8,80
73	2,66
74	6,00
75	4,45
76	5,66
77	6,96
78	5,30
79	9,97
80	6,13
81	4,42
82	6,81
83	3,69
84	3,28
85	3,57
86	1,38
87	0,11
88	7,58
89	6,95
90	6,98
91	0,29
92	6,21
93	6,10
94	1,93
95	4,83
96	5,00
97	6,44
98	0,15
99	7,05
100	6,73
101	6,82
102	2,35
103	0,27
104	9,64
105	8,52
106	1,94
107	1,58
108	7,51
109	2,22
110	6,78
111	7,53
112	0,77
113	5,95
114	9,23
115	0,83
116	7,93
117	6,88
118	8,50
119	3,09
120	8,92
121	9,29
122	5,87
123	7,34
124	6,80
125	6,55
126	3,41
127	0,87
128	7,40
129	6,23
130	3,85
131	4,58
132	8,29
133	1,97
134	3,72
135	8,70
136	0,13
137	3,19
138	9,77
139	0,83
140	5,78
141	3,24
142	2,91
143	1,53
144	9,39
145	4,56
146	9,95
147	4,55
148	0,07
149	1,67
150	2,33
151	2,86
152	0,90
153	1,35
154	3,64
155	6,01
156	9,56
157	1,09
158	6,63
159	3,72
160	0,56
161	3,73
162	1,68
163	9,22
164	7,74
165	5,78
166	1,58
167	5,89
168	5,28
169	1,95
170	0,87
171	8,39
172	1,15
173	7,33
174	7,49
175	7,93
176	1,78
177	2,23
178	1,89
179	2,68
180	1,56
181	1,69
182	0,15
183	9,15
184	3,92
185	4,16
186	1,94
187	8,91
188	9,27
189	9,57
190	8,58
191	0,65
192	1,99
193	2,60
194	8,47
195	2,29
196	8,34
197	1,60
198	0,94
199	1,24
200	1,23
201	7,48
202	1,39
203	6,05
204	2,99
205	9,93
206	2,65
207	5,53
208	2,67
209	2,69
210	9,38
211	0,38
212	8,13
213	4,72
214	8,82
215	2,88
216	4,77
217	9,77
218	2,27
219	5,03
220	5,06
221	9,08
222	0,39
223	7,41
224	9,57
225	3,97
226	5,22
227	7,41
228	9,61
229	8,17
230	8,94
231	0,31
232	2,65
233	4,14
234	6,31
235	6,10
236	1,75
237	5,36
238	3,08
239	7,95
240	2,73
241	7,75
242	9,08
243	5,50
244	4,56
245	9,84
246	2,94
247	4,30
248	4,00
249	2,10
250	7,29
251	0,94
252	0,61
253	8,24
254	3,00
255	3,62
256	5,30
257	8,09
258	4,73
259	0,18
260	4,74
261	5,38
262	8,64
263	9,00
264	7,04
265	1,02
266	6,00
267	7,20
268	2,21
269	1,97
270	4,49
271	9,68
272	4,12
273	4,49
274	4,58
275	0,11
276	9,83
277	2,97
278	0,46
279	1,82
280	1,16
281	7,91
282	2,83
283	8,17
284	3,38
285	8,89
286	6,19
287	0,88
288	0,22
289	6,72
290	1,52
291	0,14
292	2,08
293	6,95
294	7,46
295	3,13
296	5,65
297	0,61
298	0,23
299	1,58
300	4,42
301	9,00
